,City,1B M/M%,1B Y/Y%,1B Price Cleaned,lat,lng
0,"New York, NY",5.20%,30.40%,3260,40.6943,-73.9249
1,"San Francisco, CA",-0.70%,9.80%,2910,37.7562,-122.4430
2,"Boston, MA",-1.50%,27.30%,2660,42.3188,-71.0846
3,"Miami, FL",3.30%,38.90%,2500,25.7839,-80.2102
4,"San Jose, CA",-2.00%,15.20%,2420,37.3019,-121.8486
5,"Los Angeles, CA",5.00%,20.40%,2300,34.1139,-118.4068
6,"San Diego, CA",5.10%,26.70%,2280,32.8312,-117.1225
7,"Washington, DC",0.50%,8.30%,2230,38.9047,-77.0163
8,"Oakland, CA",-1.40%,7.30%,2070,37.7903,-122.2165
9,"Santa Ana, CA",2.60%,14.70%,1950,33.7366,-117.8819
10,"Anaheim, CA",2.70%,14.20%,1930,33.8390,-117.8572
11,"Scottsdale, AZ",-2.60%,22.60%,1900,33.6872,-111.8651
12,"Fort Lauderdale, FL",-0.50%,14.70%,1870,26.1412,-80.1464
13,"Seattle, WA",5.20%,21.30%,1820,47.6211,-122.3244
14,"Long Beach, CA",0.00%,8.70%,1740,33.7981,-118.1675
15,"Atlanta, GA",0.00%,14.90%,1700,33.7627,-84.4224
16,"Honolulu, HI",-1.20%,15.10%,1680,21.3294,-157.8460
17,"Nashville, TN",5.10%,25.20%,1640,36.1715,-86.7843
18,"Sacramento, CA",1.90%,14.80%,1630,38.5667,-121.4683
19,"Denver, CO",-4.10%,14.90%,1620,39.7621,-104.8759
20,"Chandler, AZ",0.00%,25.80%,1610,33.2826,-111.8516
21,"Orlando, FL",-1.20%,26.80%,1610,28.4772,-81.3369
22,"Chicago, IL",-0.60%,10.30%,1600,41.8373,-87.6862
23,"Providence, RI",-1.30%,9.00%,1580,41.8230,-71.4187
24,"Tampa, FL",-1.30%,32.80%,1580,27.9942,-82.4451
25,"Austin, TX",1.30%,30.80%,1570,30.3004,-97.7522
26,"Henderson, NV",4.70%,25.80%,1560,36.0133,-115.0380
27,"Portland, OR",1.40%,10.40%,1490,45.5372,-122.6500
28,"Gilbert, AZ",-5.10%,8.80%,1480,33.3101,-111.7463
29,"St Petersburg, FL",0.00%,14.80%,1470,,
30,"New Orleans, LA",3.60%,-1.40%,1430,30.0687,-89.9288
31,"Boise, ID",2.20%,14.50%,1420,43.6007,-116.2312
32,"Dallas, TX",-2.10%,10.20%,1410,32.7936,-96.7662
33,"Philadelphia, PA",-2.80%,0.70%,1410,40.0077,-75.1339
34,"Plano, TX",-3.50%,14.90%,1390,33.0502,-96.7487
35,"Fresno, CA",-4.80%,17.80%,1390,36.7831,-119.7941
36,"Charlotte, NC",1.50%,8.70%,1380,35.2080,-80.8304
37,"Newark, NJ",-2.90%,-13.00%,1340,40.7245,-74.1725
38,"Virginia Beach, VA",0.00%,8.30%,1300,36.7335,-76.0435
39,"Baltimore, MD",-1.50%,4.80%,1300,39.3051,-76.6144
40,"Irving, TX",-2.30%,15.00%,1300,32.8584,-96.9702
41,"Mesa, AZ",4.90%,18.30%,1290,33.4017,-111.7180
42,"Reno, NV",4.90%,15.20%,1290,39.5497,-119.8483
43,"Phoenix, AZ",4.90%,19.60%,1280,33.5722,-112.0891
44,"Salt Lake City, UT",0.80%,15.30%,1280,40.7777,-111.9306
45,"Las Vegas, NV",1.60%,25.70%,1270,36.2333,-115.2654
46,"Cleveland, OH",-4.60%,9.70%,1240,41.4767,-81.6804
47,"Jacksonville, FL",5.10%,24.20%,1230,30.3322,-81.6749
48,"Fort Worth, TX",0.80%,15.10%,1220,32.7811,-97.3473
49,"Glendale, AZ",0.80%,27.40%,1210,33.5791,-112.2311
50,"Chesapeake, VA",-0.80%,5.20%,1210,36.6778,-76.3024
51,"Houston, TX",-0.80%,10.00%,1210,29.7863,-95.3889
52,"Durham, NC",0.80%,-7.70%,1200,35.9794,-78.9031
53,"Minneapolis, MN",-4.00%,-4.00%,1200,44.9635,-93.2678
54,"Raleigh, NC",3.50%,14.40%,1190,35.8325,-78.6435
55,"Aurora, CO",2.60%,7.20%,1190,39.7087,-104.7273
56,"Pittsburgh, PA",0.90%,7.30%,1180,40.4396,-79.9762
57,"Richmond, VA",2.60%,-10.00%,1170,37.5295,-77.4756
58,"Anchorage, AK",5.50%,16.00%,1160,61.1508,-149.1091
59,"Madison, WI",4.60%,0.00%,1130,43.0826,-89.3931
60,"Norfolk, VA",4.60%,15.30%,1130,36.8945,-76.2590
61,"Detroit, MI",2.80%,12.00%,1120,42.3834,-83.1024
62,"Chattanooga, TN",-1.80%,7.70%,1120,35.0657,-85.2488
63,"Spokane, WA",3.80%,13.40%,1100,47.6671,-117.4330
64,"Knoxville, TN",1.90%,31.00%,1100,35.9692,-83.9496
65,"Colorado Springs, CO",0.90%,-1.80%,1090,38.8674,-104.7606
66,"Bakersfield, CA",4.90%,17.60%,1070,35.3529,-119.0359
67,"San Antonio, TX",-1.90%,10.40%,1060,29.4658,-98.5253
68,"Buffalo, NY",1.00%,2.90%,1050,42.9016,-78.8487
69,"Arlington, TX",0.00%,12.00%,1030,32.6998,-97.1250
70,"Rochester, NY",2.00%,-2.90%,1020,43.1680,-77.6162
71,"Louisville, KY",3.20%,12.60%,980,38.1663,-85.6485
72,"Kansas City, MO",2.10%,-1.00%,980,39.1239,-94.5541
73,"Milwaukee, WI",0.00%,-22.10%,950,43.0642,-87.9673
74,"Indianapolis, IN",-1.00%,1.10%,950,39.7771,-86.1458
75,"Lincoln, NE",3.30%,14.60%,940,40.8090,-96.6788
76,"Des Moines, IA",4.50%,6.90%,930,41.5725,-93.6105
77,"Augusta, GA",4.50%,12.20%,920,33.3645,-82.0708
78,"Syracuse, NY",2.20%,10.80%,920,43.0409,-76.1438
79,"Tallahassee, FL",2.20%,15.00%,920,30.4551,-84.2526
80,"St Louis, MO",0.00%,-7.10%,920,,
81,"Greensboro, NC",2.30%,12.50%,900,36.0956,-79.8269
82,"Omaha, NE",1.10%,9.80%,900,41.2627,-96.0522
83,"Winston Salem, NC",1.10%,11.10%,900,,
84,"Corpus Christi, TX",0.00%,5.90%,900,27.7260,-97.3755
85,"Memphis, TN",0.00%,3.40%,900,35.1046,-89.9773
86,"Columbus, OH",-2.20%,0.00%,900,39.9862,-82.9850
87,"Tulsa, OK",4.80%,31.30%,880,36.1284,-95.9042
88,"Cincinnati, OH",-5.40%,-10.30%,870,39.1413,-84.5061
89,"Albuquerque, NM",0.00%,14.70%,860,35.1053,-106.6464
90,"Tucson, AZ",-4.50%,15.10%,840,32.1545,-110.8782
91,"Oklahoma City, OK",-1.20%,12.20%,830,35.4676,-97.5136
92,"Baton Rouge, LA",-1.20%,0.00%,820,30.4418,-91.1310
93,"Laredo, TX",0.00%,14.10%,810,27.5629,-99.4875
94,"El Paso, TX",-2.40%,15.70%,810,31.8479,-106.4309
95,"Lexington, KY",-1.20%,8.10%,800,38.0423,-84.4587
96,"Shreveport, LA",-1.40%,9.00%,730,32.4656,-93.7956
97,"Lubbock, TX",0.00%,6.20%,690,33.5659,-101.8878
98,"Akron, OH",1.50%,13.30%,680,41.0798,-81.5219
99,"Wichita, KS",0.00%,8.30%,650,37.6896,-97.3442
