,City,1B Price,1B M/M%,1B Y/Y%,2B Price,2B M/M%,2B Y/Y%
1,"New York, NY","$3,260 ",5.20%,30.40%,"$3,380 ",2.40%,26.10%
2,"San Francisco, CA","$2,910 ",-0.70%,9.80%,"$4,000 ",0.80%,14.30%
3,"Boston, MA","$2,660 ",-1.50%,27.30%,"$2,990 ",-3.20%,15.00%
4,"Miami, FL","$2,500 ",3.30%,38.90%,"$3,380 ",5.00%,38.00%
5,"San Jose, CA","$2,420 ",-2.00%,15.20%,"$2,990 ",2.00%,12.80%
6,"Los Angeles, CA","$2,300 ",5.00%,20.40%,"$3,010 ",0.30%,13.60%
7,"San Diego, CA","$2,280 ",5.10%,26.70%,"$2,900 ",5.10%,20.80%
8,"Washington, DC","$2,230 ",0.50%,8.30%,"$3,000 ",1.70%,7.50%
9,"Oakland, CA","$2,070 ",-1.40%,7.30%,"$2,750 ",1.90%,10.90%
10,"Santa Ana, CA","$1,950 ",2.60%,14.70%,"$2,600 ",-4.80%,9.20%
11,"Anaheim, CA","$1,930 ",2.70%,14.20%,"$2,500 ",-0.80%,23.20%
12,"Scottsdale, AZ","$1,900 ",-2.60%,22.60%,"$2,440 ",-3.60%,12.40%
13,"Fort Lauderdale, FL","$1,870 ",-0.50%,14.70%,"$3,010 ",3.80%,36.80%
14,"Seattle, WA","$1,820 ",5.20%,21.30%,"$2,700 ",5.10%,35.00%
15,"Long Beach, CA","$1,740 ",0.00%,8.70%,"$2,250 ",-2.20%,11.90%
16,"Atlanta, GA","$1,700 ",0.00%,14.90%,"$2,100 ",-1.90%,10.50%
17,"Honolulu, HI","$1,680 ",-1.20%,15.10%,"$2,190 ",-4.80%,15.30%
18,"Nashville, TN","$1,640 ",5.10%,25.20%,"$1,740 ",-0.60%,15.20%
19,"Sacramento, CA","$1,630 ",1.90%,14.80%,"$1,940 ",-0.50%,9.60%
20,"Denver, CO","$1,620 ",-4.10%,14.90%,"$2,290 ",5.00%,16.80%
21,"Chandler, AZ","$1,610 ",0.00%,25.80%,"$1,790 ",0.00%,14.70%
22,"Orlando, FL","$1,610 ",-1.20%,26.80%,"$1,900 ",-0.50%,35.70%
23,"Chicago, IL","$1,600 ",-0.60%,10.30%,"$1,900 ",1.60%,5.60%
24,"Providence, RI","$1,580 ",-1.30%,9.00%,"$1,890 ",3.30%,5.60%
25,"Tampa, FL","$1,580 ",-1.30%,32.80%,"$1,880 ",1.60%,33.30%
26,"Austin, TX","$1,570 ",1.30%,30.80%,"$1,900 ",-0.50%,22.60%
27,"Henderson, NV","$1,560 ",4.70%,25.80%,"$1,790 ",5.30%,28.80%
28,"Portland, OR","$1,490 ",1.40%,10.40%,"$1,770 ",-1.70%,7.30%
29,"Gilbert, AZ","$1,480 ",-5.10%,8.80%,"$1,740 ",-4.90%,6.10%
30,"St Petersburg, FL","$1,470 ",0.00%,14.80%,"$2,200 ",3.80%,35.00%
31,"New Orleans, LA","$1,430 ",3.60%,-1.40%,"$1,880 ",4.40%,10.60%
32,"Boise, ID","$1,420 ",2.20%,14.50%,"$1,510 ",0.00%,11.90%
33,"Dallas, TX","$1,410 ",-2.10%,10.20%,"$1,890 ",-2.60%,9.20%
34,"Philadelphia, PA","$1,410 ",-2.80%,0.70%,"$1,740 ",-1.10%,-0.60%
35,"Plano, TX","$1,390 ",-3.50%,14.90%,"$1,860 ",0.00%,14.80%
36,"Fresno, CA","$1,390 ",-4.80%,17.80%,"$1,580 ",-2.50%,15.30%
37,"Charlotte, NC","$1,380 ",1.50%,8.70%,"$1,600 ",-1.20%,8.10%
38,"Newark, NJ","$1,340 ",-2.90%,-13.00%,"$1,630 ",3.20%,-5.80%
39,"Virginia Beach, VA","$1,300 ",0.00%,8.30%,"$1,500 ",0.70%,14.50%
40,"Baltimore, MD","$1,300 ",-1.50%,4.80%,"$1,490 ",2.10%,6.40%
41,"Irving, TX","$1,300 ",-2.30%,15.00%,"$1,620 ",-3.60%,11.70%
42,"Mesa, AZ","$1,290 ",4.90%,18.30%,"$1,630 ",5.20%,26.40%
43,"Reno, NV","$1,290 ",4.90%,15.20%,"$1,640 ",-0.60%,10.10%
44,"Phoenix, AZ","$1,280 ",4.90%,19.60%,"$1,610 ",5.20%,23.80%
45,"Salt Lake City, UT","$1,280 ",0.80%,15.30%,"$1,530 ",-3.80%,14.20%
46,"Las Vegas, NV","$1,270 ",1.60%,25.70%,"$1,560 ",-2.50%,25.80%
47,"Cleveland, OH","$1,240 ",-4.60%,9.70%,"$1,290 ",-5.10%,6.60%
48,"Jacksonville, FL","$1,230 ",5.10%,24.20%,"$1,350 ",-2.20%,15.40%
49,"Fort Worth, TX","$1,220 ",0.80%,15.10%,"$1,560 ",0.60%,11.40%
50,"Glendale, AZ","$1,210 ",0.80%,27.40%,"$1,500 ",1.40%,27.10%
51,"Chesapeake, VA","$1,210 ",-0.80%,5.20%,"$1,400 ",-0.70%,12.00%
52,"Houston, TX","$1,210 ",-0.80%,10.00%,"$1,470 ",-1.30%,5.00%
53,"Durham, NC","$1,200 ",0.80%,-7.70%,"$1,500 ",2.70%,7.10%
54,"Minneapolis, MN","$1,200 ",-4.00%,-4.00%,"$1,750 ",0.60%,0.00%
55,"Raleigh, NC","$1,190 ",3.50%,14.40%,"$1,440 ",-1.40%,15.20%
56,"Aurora, CO","$1,190 ",2.60%,7.20%,"$1,660 ",2.50%,7.80%
57,"Pittsburgh, PA","$1,180 ",0.90%,7.30%,"$1,480 ",2.80%,10.40%
58,"Richmond, VA","$1,170 ",2.60%,-10.00%,"$1,410 ",0.70%,-1.40%
59,"Anchorage, AK","$1,160 ",5.50%,16.00%,"$1,300 ",0.80%,15.00%
60,"Madison, WI","$1,130 ",4.60%,0.00%,"$1,480 ",1.40%,3.50%
61,"Norfolk, VA","$1,130 ",4.60%,15.30%,"$1,340 ",4.70%,22.90%
